Customer_ID,Campaign_ID,Exposure_Date
C0116,M046,2026-03-02 0:00:00
C0298,M028,2026-04-08 0:00:00
C0053,M098,2024-08-09 0:00:00
C0457,M067,2025-10-20 0:00:00
C0084,M012,2023-10-24 0:00:00
C0449,M015,2025-12-01 0:00:00
C0187,M078,2023-08-15 0:00:00
C0301,M013,2024-04-26 0:00:00
C0428,M005,2024-03-13 0:00:00
C0046,M095,2024-04-02 0:00:00
C0303,M079,2024-01-05 0:00:00
C0089,M094,2024-11-17 0:00:00
C0247,M069,2024-12-31 0:00:00
C0500,M078,2024-07-16 0:00:00
C0141,M053,2025-06-27 0:00:00
C0412,M080,2023-03-20 0:00:00
C0237,M019,2025-08-16 0:00:00
C0175,M061,2025-01-10 0:00:00
C0428,M078,2023-10-19 0:00:00
C0445,M050,2023-11-26 0:00:00
C0256,M042,2023-08-03 0:00:00
C0480,M032,2024-02-06 0:00:00
C0377,M063,2024-03-05 0:00:00
C0120,M047,2023-01-05 0:00:00
C0145,M036,2026-03-17 0:00:00
C0160,M070,2025-05-15 0:00:00
C0125,M008,2024-03-24 0:00:00
C0415,M062,2023-03-24 0:00:00
C0307,M090,2025-02-22 0:00:00
C0138,M061,2024-01-05 0:00:00
C0339,M085,2024-11-19 0:00:00
C0255,M064,2025-07-30 0:00:00
C0445,M031,2023-03-24 0:00:00
C0250,M067,2026-03-12 0:00:00
C0326,M058,2024-11-07 0:00:00
C0341,M065,2024-11-27 0:00:00
C0210,M068,2023-05-13 0:00:00
C0420,M015,2025-06-26 0:00:00
C0350,M047,2023-05-11 0:00:00
C0199,M096,2025-09-17 0:00:00
C0498,M080,2023-10-12 0:00:00
C0310,M039,2024-12-18 0:00:00
C0252,M009,2025-04-09 0:00:00
C0194,M048,2025-08-01 0:00:00
C0316,M033,2024-12-16 0:00:00
C0182,M079,2023-06-28 0:00:00
C0028,M046,2024-11-07 0:00:00
C0084,M094,2026-03-23 0:00:00
C0297,M060,2023-09-03 0:00:00
C0433,M003,2023-03-29 0:00:00
C0411,M017,2023-03-10 0:00:00
C0113,M028,2025-08-17 0:00:00
C0485,M094,2023-05-05 0:00:00
C0253,M086,2026-04-04 0:00:00
C0139,M011,2025-07-01 0:00:00
C0170,M065,2025-03-08 0:00:00
C0318,M062,2024-05-07 0:00:00
C0076,M020,2024-06-11 0:00:00
C0042,M082,2025-12-07 0:00:00
C0108,M076,2024-10-10 0:00:00
C0408,M072,2024-09-10 0:00:00
C0071,M031,2023-09-02 0:00:00
C0144,M021,2026-03-18 0:00:00
C0001,M046,2025-04-22 0:00:00
C0139,M073,2023-09-07 0:00:00
C0320,M026,2023-05-21 0:00:00
C0008,M095,2025-01-01 0:00:00
C0325,M080,2023-11-21 0:00:00
C0237,M030,2023-08-01 0:00:00
C0050,M051,2025-02-24 0:00:00
C0423,M071,2023-08-26 0:00:00
C0180,M073,2025-01-05 0:00:00
C0446,M010,2024-02-08 0:00:00
C0116,M005,2025-09-21 0:00:00
C0238,M083,2023-12-13 0:00:00
C0358,M056,2026-01-29 0:00:00
C0346,M073,2023-05-03 0:00:00
C0309,M038,2024-09-11 0:00:00
C0247,M043,2024-05-02 0:00:00
C0414,M084,2026-03-25 0:00:00
C0263,M007,2024-10-29 0:00:00
C0075,M072,2024-12-22 0:00:00
C0245,M059,2025-02-20 0:00:00
C0184,M044,2023-12-23 0:00:00
C0157,M011,2023-07-21 0:00:00
C0494,M089,2023-12-23 0:00:00
C0325,M049,2025-11-30 0:00:00
C0269,M099,2025-04-19 0:00:00
C0288,M028,2023-05-23 0:00:00
